TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"3632118","Life Counters","Ultra Pro Tokens","Relic Tokens: Eternal Collection - Goblin","","","","Near Mint","8.71","","9.9900","9.9900","0","0","8.9700",""
"5919","Magic","10th Edition","Lord of the Undead","","155","R","Near Mint","16.21","","16.8900","15.4000","0","0","17.9000",""
"6723834","Magic","30th Anniversary Promos","Acidic Slime","","17","P","Near Mint Foil","0.26","0.16","1.4200","0.1100","0","0","0.2500",""
"6723799","Magic","30th Anniversary Promos","Chord of Calling (PT Exclusive)","","13","P","Near Mint Foil - Portuguese","13.46","","17.9700","17.9700","0","0","13.4600",""
"6723914","Magic","30th Anniversary Promos","Deadly Dispute","","29","P","Near Mint Foil","1.05","1.20","2.0200","0.7100","0","0","1.1700",""
"6723904","Magic","30th Anniversary Promos","Dovin's Veto","","27","P","Near Mint Foil","2.38","2.26","3.7100","2.4000","0","0","2.4700",""
"6723884","Magic","30th Anniversary Promos","Dramatic Reversal","","24","P","Near Mint Foil","2.75","2.15","3.8400","2.5300","0","0","1.1000",""
"6723794","Magic","30th Anniversary Promos","Eternal Witness","","12","P","Near Mint Foil","1.28","1.38","2.3000","0.9900","0","0","1.5000",""
"6723809","Magic","30th Anniversary Promos","Niv-Mizzet, the Firemind","","14","P","Near Mint Foil","1.15","0.98","2.2900","0.9800","0","0","0.6800",""
"16977","Magic","7th Edition","Elvish Champion","","240","R","Near Mint","9.36","","10.1100","9.1200","0","0","22.9900",""
"17173","Magic","7th Edition","Static Orb","","319","R","Near Mint","16.36","","16.3900","16.3900","1","0","16.3000",""
"23342","Magic","8th Edition","Glorious Anthem","","20","R","Near Mint","0.32","","1.5600","0.2500","1","0","0.7500",""
"23652","Magic","8th Edition","Urza's Tower","","330","U","Near Mint","0.82","","2.0400","0.7300","1","0","0.8200",""
"24780","Magic","9th Edition","Looming Shade","","142","C","Near Mint","0.03","0.01","1.3200","0.0100","1","0","0.7500",""
"374437","Magic","9th Edition","Sengir Vampire","","","R","Lightly Played","0.47","","1.4800","0.1700","1","0","0.9800",""
"48676","Magic","9th Edition","Serra Angel","","","R","Near Mint Foil","0.71","","1.7600","0.4500","0","0","0.4600",""
